2025-06-04 22:00:10,863 | masks | INFO | mask_account_number успешно выполнена.
2025-06-04 22:00:10,866 | masks | INFO | mask_credit_card успешно выполнена.
2025-06-04 22:00:10,874 | masks | INFO | mask_credit_card успешно выполнена.
2025-06-04 22:00:10,874 | masks | INFO | mask_credit_card успешно выполнена.
2025-06-04 22:00:10,874 | masks | ERROR | mask_credit_card завершилась с ошибкой: Некорректный номер карты
2025-06-04 22:00:10,894 | masks | INFO | mask_account_number успешно выполнена.
2025-06-04 22:00:10,894 | masks | INFO | mask_account_number успешно выполнена.
2025-06-04 22:00:10,894 | masks | ERROR | mask_account_number завершилась с ошибкой: Некорректный номер счета
2025-06-04 22:00:10,912 | masks | ERROR | mask_credit_card завершилась с ошибкой: Некорректный номер карты
2025-06-04 22:00:10,930 | masks | ERROR | mask_account_number завершилась с ошибкой: Некорректный номер счета
2025-06-04 22:00:10,948 | masks | INFO | mask_credit_card успешно выполнена.
2025-06-04 22:00:10,951 | masks | INFO | mask_credit_card успешно выполнена.
2025-06-04 22:00:10,954 | masks | ERROR | mask_credit_card завершилась с ошибкой: Некорректный номер карты
2025-06-04 22:00:10,972 | masks | ERROR | mask_credit_card завершилась с ошибкой: Некорректный номер карты
2025-06-04 22:00:10,990 | masks | INFO | mask_account_number успешно выполнена.
2025-06-04 22:00:10,993 | masks | INFO | mask_account_number успешно выполнена.
2025-06-04 22:00:10,997 | masks | ERROR | mask_account_number завершилась с ошибкой: Некорректный номер счета
2025-06-04 22:00:11,015 | masks | ERROR | mask_account_number завершилась с ошибкой: Некорректный номер счета
2025-06-04 22:00:11,094 | masks | INFO | mask_credit_card успешно выполнена.
2025-06-04 22:00:11,097 | masks | INFO | mask_credit_card успешно выполнена.
2025-06-04 22:00:11,101 | masks | INFO | mask_account_number успешно выполнена.
2025-06-04 22:00:11,111 | masks | INFO | mask_credit_card успешно выполнена.
2025-06-04 22:00:11,127 | masks | ERROR | mask_account_number завершилась с ошибкой: Некорректный номер счета
2025-06-04 22:00:11,153 | masks | INFO | mask_credit_card успешно выполнена.
